question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
141,Did Ger Brown join the Knockavilla–Donaskeigh Kickhams club?,Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.,Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.,Yes,No,Explicit,Different,"Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.
Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.",Yes|No,Ger Browne,https://en.wikipedia.org/wiki/Ger_Browne
142,Did Ger Brown join the Cashel King Cormacs club?,Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.,Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.,No ,Yes,Explicit,Different,"Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.
Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.",No |Yes,Ger Browne,https://en.wikipedia.org/wiki/Ger_Browne
139,Did Ger Browne joined the Knockavilla–Donaskeigh Kickhams club or the Cashel King Cormacs club?,Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.,Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.,Knockavilla–Donaskeigh Kickhams,Cashel King Cormacs ,Explicit,Different,"Ger Browne joined the Knockavilla–Donaskeigh Kickhams club at a young age and played in all grades at juvenile and underage levels before eventually joining the club's top adult team.
Ger Browne (born 10 May 1998) is an Irish hurler who played for Tipperary Senior Hurling Championship with Cashel King Cormacs and at inter-county level with the Tipperary senior hurling team. He usually lines out as a midfielder.",Knockavilla–Donaskeigh Kickhams|Cashel King Cormacs ,Ger Browne,https://en.wikipedia.org/wiki/Ger_Browne
144,Was Building 98 at Fort D. A. Russell built before 1911?,Building 98 at Fort D. A. Russell was built in 1920.,"Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",No,Yes,Implicit (reasoning required),Different,"Building 98 at Fort D. A. Russell was built in 1920.
Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",No|Yes,Building 98,https://en.wikipedia.org/wiki/Building_98
145,"Was Building 98 at Fort D. A. Russell active as the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas, before 1920?",Building 98 at Fort D. A. Russell was built in 1920.,"Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",No,Yes,Implicit (reasoning required),Different,"Building 98 at Fort D. A. Russell was built in 1920.
Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",No|Yes,Building 98,https://en.wikipedia.org/wiki/Building_98
143,When was Building 98 at Fort D. A. Russell built?,Building 98 at Fort D. A. Russell was built in 1920.,"Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",1920,Before 1911,Implicit (reasoning required),Different,"Building 98 at Fort D. A. Russell was built in 1920.
Building 98 at Fort D. A. Russell is the historic US army base bachelor officer quarters, officers club, and grand ballroom near Marfa, Texas; it was active from 1911 to 1946. Building 98 is Located at Fort David A. Russell's central fort complex. It is a project of the International Woman's Foundation and it is the home of the World War II German prisoners of war POW murals.",1920|Before 1911,Building 98,https://en.wikipedia.org/wiki/Building_98
147,"Was Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, buried in Arklow?","Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.","Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.",Yes,No,Implicit (reasoning required),Same,"Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.",Yes|No,Margery de Burgh,https://en.wikipedia.org/wiki/Margery_de_Burgh
146,"Was Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, buried in County Limerick?","Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.","Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.",No,Yes,Implicit (reasoning required),Same,"Margery de Burgh's husband, Theobald Butler, 3rd Chief Butler of Ireland, died 26 December 1248. He was buried before 3 August 1248 at Arklow, County Limerick. On 27 April 1250, she made a fine to remarry.",No|Yes,Margery de Burgh,https://en.wikipedia.org/wiki/Margery_de_Burgh
148,How common is BMS (Burning mouth syndrome)?,"BMS (Burning mouth syndrome) is fairly uncommon worldwide, affecting up to five individuals per 100,000 general population. People with BMS are more likely to be middle aged or elderly, and females are three to seven times more likely to have BMS than males. Some report a female to male ratio of as much as 33 to 1. BMS is reported in about 10-40% of women seeking medical treatment for menopausal symptoms, and BMS occurs in about 14% of postmenopausal women. Males and younger individuals of both sexes are sometimes affected.","BMS (Burning mouth syndrome) is fairly uncommon worldwide, affecting up to five individuals per 100,000 general population. People with BMS are more likely to be middle aged or elderly, and females are three to seven times more likely to have BMS than males. Some report a female to male ratio of as much as 33 to 1. BMS is reported in about 10-40% of women seeking medical treatment for menopausal symptoms, and BMS occurs in about 14% of postmenopausal women. Males and younger individuals of both sexes are sometimes affected.","BMS (Burning mouth syndrome) is fairly uncommon worldwide, affecting up to five individuals per 100,000 general population.","BMS is reported in about 10-40% of women seeking medical treatment for menopausal symptoms, and BMS occurs in about 14% of postmenopausal women.",Implicit (reasoning required),Same,"BMS (Burning mouth syndrome) is fairly uncommon worldwide, affecting up to five individuals per 100,000 general population. People with BMS are more likely to be middle aged or elderly, and females are three to seven times more likely to have BMS than males. Some report a female to male ratio of as much as 33 to 1. BMS is reported in about 10-40% of women seeking medical treatment for menopausal symptoms, and BMS occurs in about 14% of postmenopausal women. Males and younger individuals of both sexes are sometimes affected.","BMS (Burning mouth syndrome) is fairly uncommon worldwide, affecting up to five individuals per 100,000 general population.|BMS is reported in about 10-40% of women seeking medical treatment for menopausal symptoms, and BMS occurs in about 14% of postmenopausal women.",Burning mouth syndrome,https://en.wikipedia.org/wiki/Burning_mouth_syndrome
150,Was Charles de Lorraine-Guise the leader of the French party at the April 1555 papal conclave?,"During the April 1555 papal conclave College of Cardinals was divided into three parties:  French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.","Charles de Lorraine-Guise (July 27, 1547) – Cardinal-Priest of S. Cecilia; Archbishop of Reims was absent at the April 1555 papal conclave.",Yes,No,Implicit (reasoning required),Different,"During the April 1555 papal conclave College of Cardinals was divided into three parties:  French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.
Charles de Lorraine-Guise (July 27, 1547) – Cardinal-Priest of S. Cecilia; Archbishop of Reims was absent at the April 1555 papal conclave.",Yes|No,April 1555 papal conclave,https://en.wikipedia.org/wiki/April_1555_papal_conclave
149,Was Charles de Lorraine-Guise present at the April 1555 papal conclave?,"During the April 1555 papal conclave College of Cardinals was divided into three parties:  French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.","Charles de Lorraine-Guise (July 27, 1547) – Cardinal-Priest of S. Cecilia; Archbishop of Reims was absent at the April 1555 papal conclave.",Yes,No,Implicit (reasoning required),Different,"During the April 1555 papal conclave College of Cardinals was divided into three parties:  French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.
Charles de Lorraine-Guise (July 27, 1547) – Cardinal-Priest of S. Cecilia; Archbishop of Reims was absent at the April 1555 papal conclave.",Yes|No,April 1555 papal conclave,https://en.wikipedia.org/wiki/April_1555_papal_conclave
152,Was the Italian Party at the April 1555 papal conclave headed by Alessandro Farnese?,"During the April 1555 papal conclave College of Cardinals was divided into three parties: French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.","Alessandro Farnese (December 18, 1534) – Cardinal-Deacon of S. Lorenzo in Damaso; Vice-Chancellor of the Holy Roman Church; Archpriest of the patriarchal Vatican Basilica; Legate in Avignon; Administrator of Monreale and Cahors; Cardinal-protector of Poland, Portugal, Germany, Kingdom of Sicily, Republic of Genoa and Republic of Ragusa; Cardinal-protector of the Orders of Benedictines and Servites, was absent at the April 1555 papal conclave.",Yes,No,Implicit (reasoning required),Different,"During the April 1555 papal conclave College of Cardinals was divided into three parties: French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.
Alessandro Farnese (December 18, 1534) – Cardinal-Deacon of S. Lorenzo in Damaso; Vice-Chancellor of the Holy Roman Church; Archpriest of the patriarchal Vatican Basilica; Legate in Avignon; Administrator of Monreale and Cahors; Cardinal-protector of Poland, Portugal, Germany, Kingdom of Sicily, Republic of Genoa and Republic of Ragusa; Cardinal-protector of the Orders of Benedictines and Servites, was absent at the April 1555 papal conclave.",Yes|No,April 1555 papal conclave,https://en.wikipedia.org/wiki/April_1555_papal_conclave
151,Was Alessandro Farnese present at the April 1555 papal conclave?,"During the April 1555 papal conclave College of Cardinals was divided into three parties: French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.","Alessandro Farnese (December 18, 1534) – Cardinal-Deacon of S. Lorenzo in Damaso; Vice-Chancellor of the Holy Roman Church; Archpriest of the patriarchal Vatican Basilica; Legate in Avignon; Administrator of Monreale and Cahors; Cardinal-protector of Poland, Portugal, Germany, Kingdom of Sicily, Republic of Genoa and Republic of Ragusa; Cardinal-protector of the Orders of Benedictines and Servites, was absent at the April 1555 papal conclave.",Yes,No,Implicit (reasoning required),Different,"During the April 1555 papal conclave College of Cardinals was divided into three parties: French party – the adherents of the king Henry II of France. Their leader was Charles de Lorraine-Guise. Habsburg party – cardinals aligned with Emperor Charles V. Their leader was Cardinal Juan Álvarez de Toledo. Italian party – group of Italian cardinals headed by Alessandro Farnese, Cardinal-nephew of Paul III, with no direct connections with main Catholic powers: Habsburg Empire or France.
Alessandro Farnese (December 18, 1534) – Cardinal-Deacon of S. Lorenzo in Damaso; Vice-Chancellor of the Holy Roman Church; Archpriest of the patriarchal Vatican Basilica; Legate in Avignon; Administrator of Monreale and Cahors; Cardinal-protector of Poland, Portugal, Germany, Kingdom of Sicily, Republic of Genoa and Republic of Ragusa; Cardinal-protector of the Orders of Benedictines and Servites, was absent at the April 1555 papal conclave.",Yes|No,April 1555 papal conclave,https://en.wikipedia.org/wiki/April_1555_papal_conclave
154,Which teams played the 1961 All-Ireland Senior Camogie Championship final?,"The 1961 All-Ireland Senior Camogie Championship Final was the thirtieth All-Ireland Final and the deciding match of the 1961 All-Ireland Senior Camogie Championship, an inter-county camogie tournament for the top teams in Ireland.  Tipperary's prospects looked strong at half-time: after playing against the wind with the sun in their eyes, they were only a point down. But Dublin won in end, with Kathleen Mills finishing her career with a record fifteenth All-Ireland medal. Judy Doyle (Dublin) scored a hat-trick.",The All-Ireland Senior Camogie Championship 1961 was played Dublin vs Galway.,Tipperary and Dublin.,Galway and Dublin.,Explicit,Different,"The 1961 All-Ireland Senior Camogie Championship Final was the thirtieth All-Ireland Final and the deciding match of the 1961 All-Ireland Senior Camogie Championship, an inter-county camogie tournament for the top teams in Ireland.  Tipperary's prospects looked strong at half-time: after playing against the wind with the sun in their eyes, they were only a point down. But Dublin won in end, with Kathleen Mills finishing her career with a record fifteenth All-Ireland medal. Judy Doyle (Dublin) scored a hat-trick.
The All-Ireland Senior Camogie Championship 1961 was played Dublin vs Galway.",Tipperary and Dublin.|Galway and Dublin.,1961 All-Ireland Senior Camogie Championship final,https://en.wikipedia.org/wiki/1961_All-Ireland_Senior_Camogie_Championship_final
153,Did Tipperary or Galway played the 1961 All-Ireland Senior Camogie Championship final against Dublin?,"The 1961 All-Ireland Senior Camogie Championship Final was the thirtieth All-Ireland Final and the deciding match of the 1961 All-Ireland Senior Camogie Championship, an inter-county camogie tournament for the top teams in Ireland.  Tipperary's prospects looked strong at half-time: after playing against the wind with the sun in their eyes, they were only a point down. But Dublin won in end, with Kathleen Mills finishing her career with a record fifteenth All-Ireland medal. Judy Doyle (Dublin) scored a hat-trick.",The All-Ireland Senior Camogie Championship 1961 was played Dublin vs Galway.,Tipperary,Galway,Explicit,Different,"The 1961 All-Ireland Senior Camogie Championship Final was the thirtieth All-Ireland Final and the deciding match of the 1961 All-Ireland Senior Camogie Championship, an inter-county camogie tournament for the top teams in Ireland.  Tipperary's prospects looked strong at half-time: after playing against the wind with the sun in their eyes, they were only a point down. But Dublin won in end, with Kathleen Mills finishing her career with a record fifteenth All-Ireland medal. Judy Doyle (Dublin) scored a hat-trick.
The All-Ireland Senior Camogie Championship 1961 was played Dublin vs Galway.",Tipperary|Galway,1961 All-Ireland Senior Camogie Championship final,https://en.wikipedia.org/wiki/1961_All-Ireland_Senior_Camogie_Championship_final
156,There were more or less than 70 tornadoes confirmed during the October 2010 North American storm complex?,There were 69 tornadoes confirmed in the October 2010 North American storm complex.,"During the October 2010 North American storm complex the cold front tracked eastward on October 27 as the storm weakened. Additional tornadoes developed across the Mid-Atlantic states as the atmosphere remained unstable. In the end, with 87 tornadoes confirmed, it was the largest October tornado outbreak ever recorded, even though none of the tornadoes were stronger than EF2 and there were no fatalities.",Less,More,Explicit,Different,"There were 69 tornadoes confirmed in the October 2010 North American storm complex.
During the October 2010 North American storm complex the cold front tracked eastward on October 27 as the storm weakened. Additional tornadoes developed across the Mid-Atlantic states as the atmosphere remained unstable. In the end, with 87 tornadoes confirmed, it was the largest October tornado outbreak ever recorded, even though none of the tornadoes were stronger than EF2 and there were no fatalities.",Less|More,October 2010 North American storm complex,https://en.wikipedia.org/wiki/October_2010_North_American_storm_complex
155,How many tornadoes were confirmed during the October 2010 North American storm complex?,There were 69 tornadoes confirmed in the October 2010 North American storm complex.,"During the October 2010 North American storm complex the cold front tracked eastward on October 27 as the storm weakened. Additional tornadoes developed across the Mid-Atlantic states as the atmosphere remained unstable. In the end, with 87 tornadoes confirmed, it was the largest October tornado outbreak ever recorded, even though none of the tornadoes were stronger than EF2 and there were no fatalities.",69,87,Explicit,Different,"There were 69 tornadoes confirmed in the October 2010 North American storm complex.
During the October 2010 North American storm complex the cold front tracked eastward on October 27 as the storm weakened. Additional tornadoes developed across the Mid-Atlantic states as the atmosphere remained unstable. In the end, with 87 tornadoes confirmed, it was the largest October tornado outbreak ever recorded, even though none of the tornadoes were stronger than EF2 and there were no fatalities.",69|87,October 2010 North American storm complex,https://en.wikipedia.org/wiki/October_2010_North_American_storm_complex
158,"Is ""All-Russian voting"" provisioned by Article 2 of the draft law on making amendments to the Russian Constitution?","The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.","The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.",Yes,No,Explicit,Same,"The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.",Yes|No,2020 Russian constitutional referendum,https://en.wikipedia.org/wiki/2020_Russian_constitutional_referendum
157,"Is the All-Russian voting provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents?","The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.","The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.",Yes,No,Explicit,Same,"The renewal of the Russian Constitution requires neither a referendum, nor convening of the Constitutional Assembly, but ""All-Russian voting"" (Russian: общероссийское голосование, romanized: obshcherossiyskoye golosovaniye) is provisioned by Article 2 of the draft law on making amendments to the Russian Constitution. Putin introduced this term for the first time and it is not a legal term with clear definition. All-Russian voting is not provisioned by the constitution or mentioned in any federal laws, regional laws or any other legal documents.",Yes|No,2020 Russian constitutional referendum,https://en.wikipedia.org/wiki/2020_Russian_constitutional_referendum
160,Was the Relegation play-off of the 2021 Carlow Senior Football Championship played in 2021?,"The 2021 Carlow Senior Football Championship was the 121st edition of the Carlow GAA's premier club Gaelic football tournament for senior graded clubs in County Carlow, Ireland. ",The Relegation play-off for the 2021 Carlow Senior Football Championship was played on the 24th of September 2019.,Yes,No,Implicit (reasoning required),Different,"The 2021 Carlow Senior Football Championship was the 121st edition of the Carlow GAA's premier club Gaelic football tournament for senior graded clubs in County Carlow, Ireland. 
The Relegation play-off for the 2021 Carlow Senior Football Championship was played on the 24th of September 2019.",Yes|No,2021 Carlow Senior Football Championship,https://en.wikipedia.org/wiki/2021_Carlow_Senior_Football_Championship
159,When was the Relegation play-off of the 2021 Carlow Senior Football Championship played?,"The 2021 Carlow Senior Football Championship was the 121st edition of the Carlow GAA's premier club Gaelic football tournament for senior graded clubs in County Carlow, Ireland. ",The Relegation play-off for the 2021 Carlow Senior Football Championship was played on the 24th of September 2019.,2021,24th of September 2019,Implicit (reasoning required),Different,"The 2021 Carlow Senior Football Championship was the 121st edition of the Carlow GAA's premier club Gaelic football tournament for senior graded clubs in County Carlow, Ireland. 
The Relegation play-off for the 2021 Carlow Senior Football Championship was played on the 24th of September 2019.",2021|24th of September 2019,2021 Carlow Senior Football Championship,https://en.wikipedia.org/wiki/2021_Carlow_Senior_Football_Championship
162,Does the adult human brain weigh 1.5 kg (3.3 lb) on average?,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.","In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",Yes,No,Implicit (reasoning required),Same,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",Yes|No,Brain size,https://en.wikipedia.org/wiki/Brain_size
163,Does the adult human brain weigh 1.285 kg on average?,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.","In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",No,Yes,Implicit (reasoning required),Same,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",No|Yes,Brain size,https://en.wikipedia.org/wiki/Brain_size
161,How much does the adult human brain weigh on average?,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.","In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",1.5 kg (3.3 lb),1.285 kg,Implicit (reasoning required),Same,"In humans, the right cerebral hemisphere is typically larger than the left, whereas the cerebellar hemispheres are typically closer in size. The adult human brain weighs on average about 1.5 kg (3.3 lb). In men the average weight is about 1370 g and in women about 1200 g.",1.5 kg (3.3 lb)|1.285 kg,Brain size,https://en.wikipedia.org/wiki/Brain_size
165,Do the Eastern Orthodox Church reject the incompatibility of Eastern Orthodox and Roman Catholic churches?,"Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""","Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople  (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""",No,Yes,Implicit (reasoning required),Same,"Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""",No|Yes,Branch theory,https://en.wikipedia.org/wiki/Branch_theory
164,Do the Eastern Orthodox Church reject the metaphor of Christianity compared to one body breathing with two lungs: Eastern Orthodox and Roman Catholic churches?,"Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""","Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople  (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""",Yes,No,Implicit (reasoning required),Same,"Eastern Orthodox Church reject as incompatible with the Orthodox faith any such use of the ""two lungs"" expression to imply that the Eastern Orthodox and Roman Catholic churches are two parts of a single church and ""that Orthodoxy is only for Easterners, and that Catholicism is only for Westerners"", according to Archpriest Andrew Phillips. Patriarch Bartholomew I of Constantinople (spiritual leader of the Eastern Orthodox Christians worldwide) ""rejects the opinion"" that ""there would be an 'incompatibility between Orthodox tradition and the European cultural way', which would be antinomic"" and points out that idea ""is against the principle of equality and respect of peoples and cultural traditions on our continent.""",Yes|No,Branch theory,https://en.wikipedia.org/wiki/Branch_theory
